מזהה,קטגוריה/שלב,שם משימה,אחראי,תאריך התחלה,תאריך סיום,משך (ימים),תלויות,הערות,startOffset,milestone
1,1. Management,פתיחת פרויקט וניהול (Phase 1),צוות יעוץ,2026-01-05,2026-02-04,30,,,0,
2,1.1 Admin,פגישת קיק-אוף והתנעת צוות היגוי,צוות יעוץ,2026-01-05,2026-01-07,2,,,0,
3,1.1 Admin,הקמת משרד PMO פיזי באקרה (Ghana),Local Ops,2026-01-07,2026-01-21,14,2,,2,
4,1.1 Admin,הכנת תוכנית ניהול פרויקט (PMP) מעודכנת,צוות יעוץ,2026-01-07,2026-01-17,10,2,,2,true
5,1.2 Regs,איסוף מסמכי EUC מ-17 גופים (חתימות סופיות),Indigo,2026-01-17,2026-02-06,20,4,קריטי לרכש,12,
6,1.2 Regs,"הגשת בקשה לרישיון שיווק וייצוא (אפכ""א)",Adi (Elta),2026-02-06,2026-02-20,14,5,,32,
7,1.2 Regs,קבלת אישור משרד הביטחון להצפנה (VPN),Adi (Elta),2026-02-20,2026-03-22,30,6,,46,
8,1.3 Sync,סנכרון אבני דרך בין Amendment 1 לנספח התשלומים,צוות יעוץ,2026-01-17,2026-01-24,7,4,תיקון אי-התאמות,12,
9,1.3 Org,עדכון תרשים מבנה ארגוני (Org Chart) - אינדיגו,Indigo,2026-01-07,2026-01-12,5,2,,2,
10,2. Design,CDR - תכנון הנדסי מפורט (Design Phase),Engineering,2026-01-05,2026-03-06,60,,,0,
11,2.1 Core,תכנון LLD רשת וסגמנטציה (Dell Core),System Eng,2026-01-17,2026-02-01,15,4,,12,
12,2.1 Core,תכנון חוקת Firewall ותורת אבטחה,Security Eng,2026-02-01,2026-02-11,10,11,Fortinet 1000F,27,
13,2.2 Remote,תכנון פריסת 17 אתרי קצה (Remote Sites v3.0),System Eng,2026-02-01,2026-02-21,20,11,,27,
14,2.2 Remote,תכנון ניטור OT פסיבי (Modbus/IEC60870),OT Expert,2026-02-21,2026-03-08,15,13,ללא סריקות אקטיביות,47,
15,2.3 DR/BU,תכנון פתרון DR (החלטה: חדר בקרה משני פיזי),צוות יעוץ/Adi,2026-02-01,2026-02-15,14,11,תקציב 520K$,27,
16,2.3 DR/BU,תכנון מערך גיבוי (On-Prem vs Cloud),System Eng,2026-02-15,2026-02-22,7,15,,41,
17,2.4 Elta,תכנון אינטגרציית CyConcerto & CyScan,Elta Eng,2026-02-01,2026-02-16,15,11,,27,
18,2.5 Approval,הגשת ספר CDR סופי לאישור הלקוח (MoE),צוות יעוץ,2026-02-16,2026-02-26,10,17,,42,true
19,3. Procurement,"רכש, לוגיסטיקה ושילוח (BOM)",Procurement,2026-01-05,2026-04-05,90,,,0,
20,3.1 Hardware,הוצאת PO לחומרת Dell (Servers/Storage),צוות יעוץ,2026-02-26,2026-03-03,5,18,,52,
21,3.1 Hardware,הוצאת PO לציוד Fortinet (Core/Edge),צוות יעוץ,2026-02-26,2026-03-03,5,18,,52,
22,3.2 SW/Lic,רכישת רישיונות QRadar (36 Months),צוות יעוץ,2026-03-03,2026-03-08,5,20,,57,
23,3.2 SW/Lic,רכישת רישיונות VMware vSphere & SRM,צוות יעוץ,2026-03-03,2026-03-08,5,20,,57,
24,3.2 SW/Lic,רכישת רישיונות Centerity (IT/OT),צוות יעוץ,2026-03-03,2026-03-08,5,20,,57,
25,3.3 Logist,ביצוע Staging ובדיקות DOA במעבדה בארץ,Indigo Eng,2026-03-03,2026-03-24,21,21,,57,
26,3.3 Logist,עדכון תנאי שילוח ל-CIP/DAP (Air Freight),צוות יעוץ,2026-03-24,2026-03-27,3,25,החלטת אלתא,78,
27,3.3 Logist,שילוח אוירי לאקרה ושחרור ממכס,Logistics,2026-03-27,2026-04-10,14,26,,81,
28,4. HR/Training,גיוס כוח אדם והדרכות (KT),HR / Indigo,2026-01-05,2026-02-19,45,,,0,
29,4.1 Hiring,גיוס מהנדס מערכת מקומי (System Engineer),Indigo,2026-01-21,2026-02-20,30,3,,16,
30,4.1 Hiring,גיוס צוות אנליסטים SOC (Tier 1-3),Indigo,2026-02-20,2026-03-22,30,29,,46,
